DATE,CMT_1MONTH,CMT_3MONTH,CMT_6MONTH,CMT_1YEAR,CMT_2YEAR,CMT_3YEAR,CMT_5YEAR,CMT_7YEAR,CMT_10YEAR,CMT_20YEAR,CMT_30YEAR,CMT_30YEARDISPLAY
2008/11/12,0.100000001,0.18000000715255737,0.75,1.029999971,1.190000057,1.600000024,2.369999886,3,3.75,4.440000057,4.170000076,0
2008/11/13,0.079999998,0.2199999988079071,0.930000007,1.159999967,1.24000001,1.620000005,2.430000067,3.069999933,3.839999914,4.570000172,4.340000153,0
2008/11/14,0.059999999,0.15000000596046448,0.899999976,1.139999986,1.220000029,1.529999971,2.329999924,2.940000057,3.720000029,4.429999828,4.21999979,0
2008/11/17,0.059999999,0.11999999731779099,0.810000002,1.080000043,1.220000029,1.529999971,2.319999933,2.920000076,3.680000067,4.420000076,4.199999809,0
2008/11/18,0.100000001,0.11999999731779099,0.75999999,1.049999952,1.149999976,1.440000057,2.220000029,2.789999962,3.529999971,4.320000172,4.139999866,0
2008/11/19,0.090000004,0.070000000298023224,0.660000026,0.970000029,1.090000033,1.360000014,2.079999924,2.640000105,3.380000114,4.170000076,3.960000038,0
2008/11/20,0.050000001,0.029999999329447746,0.519999981,0.870000005,1,1.200000048,1.940000057,2.430000067,3.099999905,3.869999886,3.640000105,0
2008/11/21,0.029999999,0.019999999552965164,0.449999988,0.829999983,1.090000033,1.350000024,2.019999981,2.529999971,3.200000048,3.930000067,3.700000048,0
2008/11/24,0.01,0.12999999523162842,0.540000021,0.949999988,1.309999943,1.529999971,2.24000001,2.710000038,3.349999905,4.010000229,3.779999971,0
2008/11/25,0.039999999,0.10000000149011612,0.529999971,0.949999988,1.149999976,1.409999967,2.059999943,2.49000001,3.109999895,3.849999905,3.630000114,0
2008/11/26,0.02,0.05000000074505806,0.479999989,0.930000007,1.090000033,1.379999995,2.00999999,2.430000067,2.99000001,3.769999981,3.539999962,0
2008/11/28,0.02,0.0099999997764825821,0.439999998,0.899999976,1,1.269999981,1.929999948,2.349999905,2.930000067,3.710000038,3.450000048,0
2008/12/1,0.090000004,0.070000000298023224,0.439999998,0.810000002,0.899999976,1.159999967,1.710000038,2.130000114,2.720000029,3.50999999,3.220000029,0
2008/12/2,0.039999999,0.059999998658895493,0.419999987,0.769999981,0.899999976,1.120000005,1.649999976,2.079999924,2.680000067,3.470000029,3.180000067,0
2008/12/3,0.02,0.019999999552965164,0.349999994,0.699999988,0.870000005,1.070000052,1.600000024,2.029999971,2.670000076,3.450000048,3.170000076,0
2008/12/4,0.01,0.019999999552965164,0.25999999,0.610000014,0.819999993,1.019999981,1.50999999,1.929999948,2.549999952,3.349999905,3.059999943,0
2008/12/5,0.02,0.019999999552965164,0.230000004,0.540000021,0.930000007,1.190000057,1.669999957,2.089999914,2.670000076,3.410000086,3.109999895,0
2008/12/8,0.01,0.029999999329447746,0.280000001,0.529999971,0.970000029,1.269999981,1.75999999,2.170000076,2.769999981,3.450000048,3.160000086,0
2008/12/9,0.039999999,0.029999999329447746,0.25,0.49000001,0.839999974,1.149999976,1.610000014,2.029999971,2.670000076,3.349999905,3.059999943,0
2008/12/10,0,,0.209999993,0.49000001,0.860000014,1.210000038,1.620000005,2.049999952,2.690000057,3.390000105,3.089999914,0
2008/12/11,0,0.0099999997764825821,0.219999999,0.50999999,0.790000021,1.110000014,1.549999952,1.99000001,2.640000105,3.349999905,3.069999933,0
2008/12/12,0.029999999,0.019999999552965164,0.209999993,0.5,0.779999971,1.049999952,1.549999952,1.980000019,2.599999905,3.359999895,3.069999933,0
2008/12/15,0,0.029999999329447746,0.280000001,0.5,0.75,1.019999981,1.5,1.919999957,2.529999971,3.289999962,2.980000019,0
