Date,h=1,h=3,h=12
7/1991,0.604513255,0.73979846,0.884656605
8/1991,0.592499915,0.731285974,0.88176721
9/1991,0.589926971,0.727693953,0.878950173
10/1991,0.581114351,0.722805212,0.878583685
11/1991,0.579365023,0.723698205,0.879949927
12/1991,0.584882233,0.727893388,0.881331041
1/1992,0.587169878,0.729233558,0.881868978
2/1992,0.589294362,0.730791296,0.883558695
3/1992,0.582704639,0.725060819,0.882321206
4/1992,0.583887075,0.723628164,0.879549483
5/1992,0.576408737,0.716042019,0.874992249
6/1992,0.575534139,0.714535591,0.87381042
7/1992,0.577847762,0.715014735,0.874672469
8/1992,0.577098181,0.71296459,0.87285403
9/1992,0.583056617,0.716814722,0.874435837
10/1992,0.590532045,0.721941306,0.877206921
11/1992,0.585476575,0.716903653,0.874253143
12/1992,0.596898033,0.717396336,0.870379533
1/1993,0.59765624,0.716938019,0.867306296
2/1993,0.584529178,0.712618586,0.865821899
3/1993,0.580867956,0.71103387,0.864646357
4/1993,0.574799464,0.705876462,0.860913222
5/1993,0.569005054,0.70021986,0.856025435
6/1993,0.557599569,0.690497358,0.851363356
7/1993,0.548114686,0.682637344,0.848406664
8/1993,0.548415301,0.682598451,0.849272791
9/1993,0.555234222,0.686302781,0.850730204
10/1993,0.56007332,0.690455813,0.853165609
11/1993,0.559010255,0.690005803,0.854089326
12/1993,0.581325647,0.70189712,0.857449358
1/1994,0.589364087,0.710308514,0.862585362
2/1994,0.582955403,0.711046232,0.866650683
3/1994,0.580094371,0.712436074,0.870810055
4/1994,0.565711576,0.702350516,0.867255456
5/1994,0.560598514,0.697882378,0.864662514
6/1994,0.554664825,0.691911798,0.860477549
7/1994,0.553002735,0.69077586,0.859761699
8/1994,0.551850177,0.690123858,0.860264442
9/1994,0.553417383,0.690931419,0.861049147
10/1994,0.556894864,0.694528163,0.864187801
11/1994,0.55553313,0.694760156,0.865375336
12/1994,0.562030051,0.700421839,0.868728606
1/1995,0.566213299,0.704725996,0.871216912
2/1995,0.576707279,0.712867485,0.874666847
3/1995,0.576927552,0.711337826,0.873610846
4/1995,0.579328779,0.71163731,0.872874617
5/1995,0.577395133,0.710901028,0.871427638
6/1995,0.568300093,0.704220684,0.868602691
7/1995,0.565250816,0.701373264,0.866183045
8/1995,0.566081145,0.702073435,0.865816851
9/1995,0.55898737,0.69783919,0.863842642
10/1995,0.560766539,0.700070252,0.863517844
11/1995,0.570376906,0.707519262,0.865225091
12/1995,0.581188801,0.7167292,0.869024124
1/1996,0.603641612,0.734078578,0.876636974
2/1996,0.614267743,0.741100809,0.879419539
3/1996,0.600952331,0.731644141,0.875287043
4/1996,0.584751086,0.71834353,0.868445193
5/1996,0.571680578,0.707340445,0.862769993
6/1996,0.564871691,0.701446672,0.859213119
7/1996,0.561984048,0.698760891,0.856865551
8/1996,0.557687594,0.694221703,0.854406656
9/1996,0.553964159,0.690926027,0.853665584
10/1996,0.555247903,0.691816098,0.854733083
11/1996,0.554801189,0.69191033,0.855958702
12/1996,0.556354831,0.692876257,0.855754993
1/1997,0.558402489,0.694624669,0.856148739
2/1997,0.562607298,0.698296866,0.857367749
3/1997,0.560079211,0.696745318,0.855659171
4/1997,0.564462809,0.698897787,0.854545854
5/1997,0.558119777,0.695034694,0.853112305
6/1997,0.555202158,0.691801303,0.851640353
7/1997,0.558041239,0.693747266,0.851402773
8/1997,0.56594933,0.698482546,0.852130638
9/1997,0.560435253,0.694490264,0.850715902
